,movieId,title,genres
201,203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy
202,204,Under Siege 2: Dark Territory (1995),Action
205,207,"Walk in the Clouds, A (1995)",Drama|Romance
206,208,Waterworld (1995),Action|Adventure|Sci-Fi
213,215,Before Sunrise (1995),Drama|Romance
214,216,Billy Madison (1995),Comedy
219,222,Circle of Friends (1995),Drama|Romance
220,223,Clerks (1994),Comedy
221,224,Don Juan DeMarco (1995),Comedy|Drama|Romance
222,225,Disclosure (1994),Drama|Thriller
227,230,Dolores Claiborne (1995),Drama|Thriller
228,231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
229,232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance
232,235,Ed Wood (1994),Comedy|Drama
233,236,French Kiss (1995),Action|Comedy|Romance
234,237,Forget Paris (1995),Comedy|Romance
243,246,Hoop Dreams (1994),Documentary
244,247,Heavenly Creatures (1994),Crime|Drama
246,249,Immortal Beloved (1994),Drama|Romance
249,252,I.Q. (1994),Comedy|Romance
250,253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
253,256,Junior (1994),Comedy|Sci-Fi
257,260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
258,261,Little Women (1994),Drama
259,262,"Little Princess, A (1995)",Children|Drama
262,265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance
263,266,Legends of the Fall (1994),Drama|Romance|War|Western
269,272,"Madness of King George, The (1994)",Comedy|Drama
270,273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi
273,276,Milk Money (1994),Comedy|Romance
274,277,Miracle on 34th Street (1994),Drama
277,280,Murder in the First (1995),Drama|Thriller
279,282,Nell (1994),Drama
285,288,Natural Born Killers (1994),Action|Crime|Thriller
289,292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
290,293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
293,296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
297,300,Quiz Show (1994),Drama
300,303,"Quick and the Dead, The (1995)",Action|Thriller|Western
303,306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
304,307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
305,308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
312,315,"Specialist, The (1994)",Action|Drama|Thriller
313,316,Stargate (1994),Action|Adventure|Sci-Fi
314,317,"Santa Clause, The (1994)",Comedy|Drama|Fantasy
315,318,"Shawshank Redemption, The (1994)",Crime|Drama
316,319,Shallow Grave (1994),Comedy|Drama|Thriller
323,327,Tank Girl (1995),Action|Comedy|Sci-Fi
325,329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
329,333,Tommy Boy (1995),Comedy
333,337,What's Eating Gilbert Grape (1993),Drama
335,339,While You Were Sleeping (1995),Comedy|Romance
338,342,Muriel's Wedding (1994),Comedy
340,344,Ace Ventura: Pet Detective (1994),Comedy
341,345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
344,348,Bullets Over Broadway (1994),Comedy
345,349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
346,350,"Client, The (1994)",Drama|Mystery|Thriller
349,353,"Crow, The (1994)",Action|Crime|Fantasy|Thriller
351,355,"Flintstones, The (1994)",Children|Comedy|Fantasy
352,356,Forrest Gump (1994),Comedy|Drama|Romance|War
353,357,Four Weddings and a Funeral (1994),Comedy|Romance
357,361,It Could Happen to You (1994),Comedy|Drama|Romance
358,362,"Jungle Book, The (1994)",Adventure|Children|Romance
360,364,"Lion King, The (1994)",Adventure|Animation|Children|Drama|Musical|IMAX
363,367,"Mask, The (1994)",Action|Comedy|Crime|Fantasy
364,368,Maverick (1994),Adventure|Comedy|Western
366,370,Naked Gun 33 1/3: The Final Insult (1994),Action|Comedy
368,372,Reality Bites (1994),Comedy|Drama|Romance
370,374,Richie Rich (1994),Children|Comedy
372,376,"River Wild, The (1994)",Action|Thriller
373,377,Speed (1994),Action|Romance|Thriller
375,379,Timecop (1994),Action|Sci-Fi|Thriller
376,380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
377,381,When a Man Loves a Woman (1994),Drama|Romance
378,382,Wolf (1994),Drama|Horror|Romance|Thriller
379,383,Wyatt Earp (1994),Western
406,410,Addams Family Values (1993),Children|Comedy|Fantasy
409,413,Airheads (1994),Comedy
415,419,"Beverly Hillbillies, The (1993)",Comedy
416,420,Beverly Hills Cop III (1994),Action|Comedy|Crime|Thriller
424,428,"Bronx Tale, A (1993)",Drama
427,431,Carlito's Way (1993),Crime|Drama
428,432,City Slickers II: The Legend of Curly's Gold (1994),Adventure|Comedy|Western
430,434,Cliffhanger (1993),Action|Adventure|Thriller
431,435,Coneheads (1993),Comedy|Sci-Fi
436,440,Dave (1993),Comedy|Romance
437,441,Dazed and Confused (1993),Comedy
438,442,Demolition Man (1993),Action|Adventure|Sci-Fi
450,454,"Firm, The (1993)",Drama|Thriller
451,455,Free Willy (1993),Adventure|Children|Drama
453,457,"Fugitive, The (1993)",Thriller
462,466,Hot Shots! Part Deux (1993),Action|Comedy|War
464,468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",Comedy|Romance
467,471,"Hudsucker Proxy, The (1994)",Comedy
470,474,In the Line of Fire (1993),Action|Thriller
471,475,In the Name of the Father (1993),Drama
476,480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
477,481,Kalifornia (1993),Drama|Thriller
481,485,Last Action Hero (1993),Action|Adventure|Comedy|Fantasy
487,491,"Man Without a Face, The (1993)",Drama
490,494,Executive Decision (1996),Action|Adventure|Thriller
493,497,Much Ado About Nothing (1993),Comedy|Romance
496,500,Mrs. Doubtfire (1993),Comedy|Drama
504,508,Philadelphia (1993),Drama
505,509,"Piano, The (1993)",Drama|Romance
511,515,"Remains of the Day, The (1993)",Drama|Romance
515,519,RoboCop 3 (1993),Action|Crime|Drama|Sci-Fi|Thriller
516,520,Robin Hood: Men in Tights (1993),Comedy
520,524,Rudy (1993),Drama
523,527,Schindler's List (1993),Drama|War
525,529,Searching for Bobby Fischer (1993),Drama
527,531,"Secret Garden, The (1993)",Children|Drama
528,532,Serial Mom (1994),Comedy|Crime|Horror
530,534,Shadowlands (1993),Drama|Romance
531,535,Short Cuts (1993),Drama
534,538,Six Degrees of Separation (1993),Drama
535,539,Sleepless in Seattle (1993),Comedy|Drama|Romance
536,540,Sliver (1993),Thriller
537,541,Blade Runner (1982),Action|Sci-Fi|Thriller
539,543,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller
542,546,Super Mario Bros. (1993),Action|Adventure|Children|Comedy|Fantasy|Sci-Fi
547,551,"Nightmare Before Christmas, The (1993)",Animation|Children|Fantasy|Musical
548,552,"Three Musketeers, The (1993)",Action|Adventure|Comedy|Romance
549,553,Tombstone (1993),Action|Drama|Western
551,555,True Romance (1993),Crime|Thriller
557,562,Welcome to the Dollhouse (1995),Comedy|Drama
579,585,"Brady Bunch Movie, The (1995)",Comedy
580,586,Home Alone (1990),Children|Comedy
581,587,Ghost (1990),Comedy|Drama|Fantasy|Romance|Thriller
582,588,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical
583,589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
584,590,Dances with Wolves (1990),Adventure|Drama|Western
586,592,Batman (1989),Action|Crime|Thriller
587,593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
588,594,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical
589,595,Beauty and the Beast (1991),Animation|Children|Fantasy|Musical|Romance|IMAX
590,596,Pinocchio (1940),Animation|Children|Fantasy|Musical
591,597,Pretty Woman (1990),Comedy|Romance
602,608,Fargo (1996),Comedy|Crime|Drama|Thriller
604,610,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi
610,616,"Aristocats, The (1970)",Animation|Children
621,628,Primal Fear (1996),Crime|Drama|Mystery|Thriller
630,637,Sgt. Bilko (1996),Comedy
639,647,Courage Under Fire (1996),Action|Crime|Drama|War
640,648,Mission: Impossible (1996),Action|Adventure|Mystery|Thriller
645,653,Dragonheart (1996),Action|Adventure|Fantasy
653,661,James and the Giant Peach (1996),Adventure|Animation|Children|Fantasy|Musical
662,671,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi
664,673,Space Jam (1996),Adventure|Animation|Children|Comedy|Fantasy|Sci-Fi
696,708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
707,719,Multiplicity (1996),Comedy
708,720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy
712,724,"Craft, The (1996)",Drama|Fantasy|Horror|Thriller
721,733,"Rock, The (1996)",Action|Adventure|Thriller
724,736,Twister (1996),Action|Adventure|Romance|Thriller
725,737,Barb Wire (1996),Action|Sci-Fi
728,741,Ghost in the Shell (Kôkaku kidôtai) (1995),Animation|Sci-Fi
730,743,Spy Hard (1996),Comedy
732,745,Wallace & Gromit: A Close Shave (1995),Animation|Children|Comedy
735,748,"Arrival, The (1996)",Action|Sci-Fi|Thriller
737,750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy|War
749,762,Striptease (1996),Comedy|Crime
752,765,Jack (1996),Comedy|Drama
765,778,Trainspotting (1996),Comedy|Crime|Drama
767,780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
770,783,"Hunchback of Notre Dame, The (1996)",Animation|Children|Drama|Musical|Romance
771,784,"Cable Guy, The (1996)",Comedy|Thriller
772,785,Kingpin (1996),Comedy
773,786,Eraser (1996),Action|Drama|Thriller
775,788,"Nutty Professor, The (1996)",Comedy|Fantasy|Romance|Sci-Fi
786,799,"Frighteners, The (1996)",Comedy|Horror|Thriller
787,800,Lone Star (1996),Drama|Mystery|Western
789,802,Phenomenon (1996),Drama|Romance
792,805,"Time to Kill, A (1996)",Drama|Thriller
815,830,"First Wives Club, The (1996)",Comedy
817,832,Ransom (1996),Crime|Thriller
821,836,Chain Reaction (1996),Action|Adventure|Thriller
822,837,Matilda (1996),Children|Comedy|Fantasy
823,838,Emma (1996),Comedy|Drama|Romance
834,849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
837,852,Tin Cup (1996),Comedy|Drama|Romance
843,858,"Godfather, The (1972)",Crime|Drama
850,866,Bound (1996),Crime|Drama|Romance|Thriller
864,880,"Island of Dr. Moreau, The (1996)",Sci-Fi|Thriller
881,898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
882,899,Singin' in the Rain (1952),Comedy|Musical|Romance
885,902,Breakfast at Tiffany's (1961),Drama|Romance
886,903,Vertigo (1958),Drama|Mystery|Romance|Thriller
887,904,Rear Window (1954),Mystery|Thriller
891,908,North by Northwest (1959),Action|Adventure|Mystery|Romance|Thriller
892,909,"Apartment, The (1960)",Comedy|Drama|Romance
893,910,Some Like It Hot (1959),Comedy|Crime
895,912,Casablanca (1942),Drama|Romance
896,913,"Maltese Falcon, The (1941)",Film-Noir|Mystery
897,914,My Fair Lady (1964),Comedy|Drama|Musical|Romance
898,915,Sabrina (1954),Comedy|Romance
899,916,Roman Holiday (1953),Comedy|Drama|Romance
902,919,"Wizard of Oz, The (1939)",Adventure|Children|Fantasy|Musical
903,920,Gone with the Wind (1939),Drama|Romance|War
905,922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Film-Noir|Romance
906,923,Citizen Kane (1941),Drama|Mystery
907,924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
909,926,All About Eve (1950),Drama
911,928,Rebecca (1940),Drama|Mystery|Romance|Thriller
913,930,Notorious (1946),Film-Noir|Romance|Thriller
916,933,To Catch a Thief (1955),Crime|Mystery|Romance|Thriller
936,953,It's a Wonderful Life (1946),Children|Drama|Fantasy|Romance
937,954,Mr. Smith Goes to Washington (1939),Drama
938,955,Bringing Up Baby (1938),Comedy|Romance
951,968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
952,969,"African Queen, The (1951)",Adventure|Comedy|Romance|War
976,994,Big Night (1996),Comedy|Drama
994,1013,"Parent Trap, The (1961)",Children|Comedy|Romance
1000,1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
1001,1020,Cool Runnings (1993),Comedy
1003,1022,Cinderella (1950),Animation|Children|Fantasy|Musical|Romance
1006,1025,"Sword in the Stone, The (1963)",Animation|Children|Fantasy|Musical
1008,1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
1009,1028,Mary Poppins (1964),Children|Comedy|Fantasy|Musical
1010,1029,Dumbo (1941),Animation|Children|Drama|Musical
1012,1031,Bedknobs and Broomsticks (1971),Adventure|Children|Musical
1013,1032,Alice in Wonderland (1951),Adventure|Animation|Children|Fantasy|Musical
1014,1033,"Fox and the Hound, The (1981)",Animation|Children|Drama
1016,1035,"Sound of Music, The (1965)",Musical|Romance
1017,1036,Die Hard (1988),Action|Crime|Thriller
1018,1037,"Lawnmower Man, The (1992)",Action|Horror|Sci-Fi|Thriller
1022,1041,Secrets & Lies (1996),Drama
1023,1042,That Thing You Do! (1996),Comedy|Drama
1028,1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
1029,1049,"Ghost and the Darkness, The (1996)",Action|Adventure
1039,1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
1040,1060,Swingers (1996),Comedy|Drama
1041,1061,Sleepers (1996),Thriller
1052,1073,Willy Wonka & the Chocolate Factory (1971),Children|Comedy|Fantasy|Musical
1055,1077,Sleeper (1973),Comedy|Sci-Fi
1057,1079,"Fish Called Wanda, A (1988)",Comedy|Crime
1058,1080,Monty Python's Life of Brian (1979),Comedy
1062,1084,Bonnie and Clyde (1967),Crime|Drama
1064,1086,Dial M for Murder (1954),Crime|Mystery|Thriller
1066,1088,Dirty Dancing (1987),Drama|Musical|Romance
1067,1089,Reservoir Dogs (1992),Crime|Mystery|Thriller
1068,1090,Platoon (1986),Drama|War
1069,1091,Weekend at Bernie's (1989),Comedy
1070,1092,Basic Instinct (1992),Crime|Mystery|Thriller
1071,1093,"Doors, The (1991)",Drama
1072,1094,"Crying Game, The (1992)",Drama|Romance|Thriller
1073,1095,Glengarry Glen Ross (1992),Drama
1075,1097,E.T. the Extra-Terrestrial (1982),Children|Drama|Sci-Fi
1078,1100,Days of Thunder (1990),Action|Drama|Romance
1079,1101,Top Gun (1986),Action|Romance
1081,1103,Rebel Without a Cause (1955),Drama
1082,1104,"Streetcar Named Desire, A (1951)",Drama
1097,1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama
1101,1124,On Golden Pond (1981),Drama
1102,1125,"Return of the Pink Panther, The (1975)",Comedy|Crime
1104,1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1106,1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1113,1136,Monty Python and the Holy Grail (1975),Adventure|Comedy|Fantasy
1125,1148,Wallace & Gromit: The Wrong Trousers (1993),Animation|Children|Comedy|Crime
1149,1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
1152,1175,Delicatessen (1991),Comedy|Drama|Romance
1156,1179,"Grifters, The (1990)",Crime|Drama|Film-Noir
1159,1183,"English Patient, The (1996)",Drama|Romance|War
1161,1185,My Left Foot (1989),Drama
1162,1186,"Sex, Lies, and Videotape (1989)",Drama
1164,1188,Strictly Ballroom (1992),Comedy|Romance
1169,1193,One Flew Over the Cuckoo's Nest (1975),Drama
1171,1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1172,1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Fantasy|Romance
1173,1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1174,1199,Brazil (1985),Fantasy|Sci-Fi
1175,1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1176,1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure|Western
1178,1203,12 Angry Men (1957),Drama
1179,1204,Lawrence of Arabia (1962),Adventure|Drama|War
1180,1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1181,1207,To Kill a Mockingbird (1962),Drama
1182,1208,Apocalypse Now (1979),Action|Drama|War
1183,1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama|Western
1184,1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1186,1212,"Third Man, The (1949)",Film-Noir|Mystery|Thriller
1187,1213,Goodfellas (1990),Crime|Drama
1188,1214,Alien (1979),Horror|Sci-Fi
1189,1215,Army of Darkness (1993),Action|Adventure|Comedy|Fantasy|Horror
1191,1217,Ran (1985),Drama|War
1193,1219,Psycho (1960),Crime|Horror
1194,1220,"Blues Brothers, The (1980)",Action|Comedy|Musical
1195,1221,"Godfather: Part II, The (1974)",Crime|Drama
1196,1222,Full Metal Jacket (1987),Drama|War
1197,1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Animation|Children|Comedy|Sci-Fi
1199,1225,Amadeus (1984),Drama
1201,1227,Once Upon a Time in America (1984),Crime|Drama
1202,1228,Raging Bull (1980),Drama
1203,1230,Annie Hall (1977),Comedy|Romance
1204,1231,"Right Stuff, The (1983)",Drama
1206,1233,"Boot, Das (Boat, The) (1981)",Action|Drama|War
1207,1234,"Sting, The (1973)",Comedy|Crime
1208,1235,Harold and Maude (1971),Comedy|Drama|Romance
1210,1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1212,1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1214,1242,Glory (1989),Drama|War
1216,1244,Manhattan (1979),Comedy|Drama|Romance
1217,1245,Miller's Crossing (1990),Crime|Drama|Film-Noir|Thriller
1218,1246,Dead Poets Society (1989),Drama
1219,1247,"Graduate, The (1967)",Comedy|Drama|Romance
1220,1248,Touch of Evil (1958),Crime|Film-Noir|Thriller
1221,1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
1222,1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama|War
1224,1252,Chinatown (1974),Crime|Film-Noir|Mystery|Thriller
1225,1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
1226,1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama|Western
1228,1256,Duck Soup (1933),Comedy|Musical|War
1229,1257,Better Off Dead... (1985),Comedy|Romance
1230,1258,"Shining, The (1980)",Horror
1231,1259,Stand by Me (1986),Adventure|Drama
1232,1260,M (1931),Crime|Film-Noir|Thriller
1233,1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror
1234,1262,"Great Escape, The (1963)",Action|Adventure|Drama|War
1235,1263,"Deer Hunter, The (1978)",Drama|War
1237,1265,Groundhog Day (1993),Comedy|Fantasy|Romance
1238,1266,Unforgiven (1992),Drama|Western
1239,1267,"Manchurian Candidate, The (1962)",Crime|Thriller|War
1241,1269,Arsenic and Old Lace (1944),Comedy|Mystery|Thriller
1242,1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1243,1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama
1244,1272,Patton (1970),Drama|War
1246,1274,Akira (1988),Action|Adventure|Animation|Sci-Fi
1247,1275,Highlander (1986),Action|Adventure|Fantasy
1248,1276,Cool Hand Luke (1967),Drama
1250,1278,Young Frankenstein (1974),Comedy|Fantasy
1254,1282,Fantasia (1940),Animation|Children|Fantasy|Musical
1255,1283,High Noon (1952),Drama|Western
1256,1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
1257,1285,Heathers (1989),Comedy
1259,1287,Ben-Hur (1959),Action|Adventure|Drama
1260,1288,This Is Spinal Tap (1984),Comedy
1263,1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1264,1292,Being There (1979),Comedy|Drama
1265,1293,Gandhi (1982),Drama
1267,1296,"Room with a View, A (1986)",Drama|Romance
1269,1298,Pink Floyd: The Wall (1982),Drama|Musical
1270,1299,"Killing Fields, The (1984)",Drama|War
1273,1302,Field of Dreams (1989),Children|Drama|Fantasy
1275,1304,Butch Cassidy and the Sundance Kid (1969),Action|Western
1278,1307,When Harry Met Sally... (1989),Comedy|Romance
1291,1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1292,1321,"American Werewolf in London, An (1981)",Comedy|Horror|Thriller
1304,1333,"Birds, The (1963)",Horror|Thriller
1309,1339,Dracula (Bram Stoker's Dracula) (1992),Fantasy|Horror|Romance|Thriller
1313,1343,Cape Fear (1991),Thriller
1315,1345,Carrie (1976),Drama|Fantasy|Horror|Thriller
1317,1347,"Nightmare on Elm Street, A (1984)",Horror|Thriller
1320,1350,"Omen, The (1976)",Horror|Mystery|Thriller
1326,1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1327,1357,Shine (1996),Drama|Romance
1328,1358,Sling Blade (1996),Drama
1336,1367,101 Dalmatians (1996),Adventure|Children|Comedy
1339,1370,Die Hard 2 (1990),Action|Adventure|Thriller
1340,1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
1341,1372,Star Trek VI: The Undiscovered Country (1991),Action|Mystery|Sci-Fi
1342,1373,Star Trek V: The Final Frontier (1989),Action|Sci-Fi
1343,1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1344,1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1345,1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1346,1377,Batman Returns (1992),Action|Crime
1347,1378,Young Guns (1988),Action|Comedy|Western
1349,1380,Grease (1978),Comedy|Musical|Romance
1354,1385,Under Siege (1992),Action|Drama|Thriller
1356,1387,Jaws (1975),Action|Horror
1357,1388,Jaws 2 (1978),Horror|Thriller
1360,1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1362,1393,Jerry Maguire (1996),Drama|Romance
1363,1394,Raising Arizona (1987),Comedy
1365,1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1372,1405,Beavis and Butt-Head Do America (1996),Adventure|Animation|Comedy|Crime
1374,1407,Scream (1996),Comedy|Horror|Mystery|Thriller
1375,1408,"Last of the Mohicans, The (1992)",Action|Romance|War|Western
1376,1409,Michael (1996),Comedy|Drama|Fantasy|Romance
1378,1411,Hamlet (1996),Crime|Drama|Romance
1383,1416,Evita (1996),Drama|Musical
1403,1438,Dante's Peak (1997),Action|Thriller
1406,1441,Benny & Joon (1993),Comedy|Romance
1414,1449,Waiting for Guffman (1996),Comedy
1427,1464,Lost Highway (1997),Crime|Drama|Fantasy|Film-Noir|Mystery|Romance
1429,1466,Donnie Brasco (1997),Crime|Drama
1438,1476,Private Parts (1997),Comedy|Drama
1440,1479,"Saint, The (1997)",Action|Romance|Sci-Fi|Thriller
1445,1485,Liar Liar (1997),Comedy
1456,1499,Anaconda (1997),Action|Adventure|Thriller
1457,1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1467,1513,Romy and Michele's High School Reunion (1997),Comedy
1471,1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1480,1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1494,1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1502,1552,Con Air (1997),Action|Adventure|Thriller
1506,1556,Speed 2: Cruise Control (1997),Action|Romance|Thriller
1511,1562,Batman & Robin (1997),Action|Adventure|Fantasy|Thriller
1515,1566,Hercules (1997),Adventure|Animation|Children|Comedy|Musical
1518,1569,My Best Friend's Wedding (1997),Comedy|Romance
1522,1573,Face/Off (1997),Action|Crime|Drama|Thriller
